id,personnel_id,record_date,duty_hours,deployment_days,leave_days,training_load
51,11,2026-08-03,8.0,8.0,0,12.0
52,12,2026-08-03,10.0,22.0,5,6.0
53,13,2026-08-03,17.0,14.0,2,6.0
54,14,2026-08-03,13.0,23.0,2,4.0
55,15,2026-08-03,9.0,8.0,5,1.0
56,16,2026-08-03,15.0,21.0,0,4.0
57,17,2026-08-03,9.0,8.0,3,6.0
58,18,2026-08-03,7.0,25.0,5,7.0
59,19,2026-08-03,7.0,3.0,5,10.0
60,20,2026-08-03,5.0,11.0,3,7.0
61,1,2026-08-04,13.0,14.0,2,4.0
62,2,2026-08-04,10.0,20.0,2,5.0
63,3,2026-08-04,13.0,7.0,5,8.0
64,4,2026-08-04,5.0,15.0,5,3.0
65,5,2026-08-04,11.0,16.0,6,7.0
66,6,2026-08-04,12.0,25.0,6,3.0
67,7,2026-08-04,11.0,17.0,0,6.0
68,8,2026-08-04,5.0,9.0,0,4.0
69,9,2026-08-04,14.0,17.0,5,9.0
70,10,2026-08-04,10.0,15.0,5,5.0
71,11,2026-08-04,8.0,6.0,0,10.0
72,12,2026-08-04,11.0,20.0,5,5.0
73,13,2026-08-04,15.0,11.0,2,9.0
74,14,2026-08-04,15.0,26.0,2,7.0
75,15,2026-08-04,10.0,8.0,5,1.0
76,16,2026-08-04,18.0,21.0,0,5.0
77,17,2026-08-04,8.0,9.0,3,8.0
78,18,2026-08-04,5.0,26.0,5,6.0
79,19,2026-08-04,10.0,5.0,5,9.0
80,20,2026-08-04,6.0,12.0,3,6.0
81,1,2026-08-05,14.0,13.0,2,3.0
82,2,2026-08-05,11.0,19.0,2,5.0
83,3,2026-08-05,12.0,7.0,5,8.0
84,4,2026-08-05,7.0,16.0,5,1.0
85,5,2026-08-05,11.0,17.0,6,9.0
86,6,2026-08-05,10.0,25.0,6,6.0
87,7,2026-08-05,12.0,18.0,0,5.0
88,8,2026-08-05,7.0,8.0,0,3.0
89,9,2026-08-05,13.0,19.0,5,9.0
90,10,2026-08-05,10.0,18.0,5,6.0
91,11,2026-08-05,10.0,8.0,0,8.0
92,12,2026-08-05,9.0,21.0,5,5.0
93,13,2026-08-05,14.0,12.0,2,8.0
94,14,2026-08-05,15.0,27.0,2,4.0
95,15,2026-08-05,9.0,6.0,5,1.0
96,16,2026-08-05,16.0,22.0,0,3.0
97,17,2026-08-05,5.0,7.0,3,8.0
98,18,2026-08-05,7.0,26.0,5,8.0
99,19,2026-08-05,4.0,2.0,5,9.0
100,20,2026-08-05,5.0,10.0,3,6.0
101,1,2026-08-06,14.0,12.0,2,5.0
102,2,2026-08-06,8.0,21.0,2,6.0
103,3,2026-08-06,14.0,8.0,5,9.0
104,4,2026-08-06,6.0,16.0,5,1.0
105,5,2026-08-06,11.0,16.0,6,8.0
106,6,2026-08-06,11.0,24.0,6,4.0
107,7,2026-08-06,13.0,17.0,0,6.0
108,8,2026-08-06,7.0,6.0,0,6.0
109,9,2026-08-06,11.0,19.0,5,7.0
110,10,2026-08-06,9.0,15.0,5,5.0
111,11,2026-08-06,8.0,10.0,0,10.0
112,12,2026-08-06,10.0,22.0,5,5.0
113,13,2026-08-06,12.0,13.0,2,8.0
114,14,2026-08-06,14.0,25.0,2,3.0
115,15,2026-08-06,8.0,9.0,5,0.0
116,16,2026-08-06,12.0,21.0,0,4.0
117,17,2026-08-06,9.0,8.0,3,4.0
118,18,2026-08-06,8.0,25.0,5,6.0
119,19,2026-08-06,6.0,6.0,5,8.0
120,20,2026-08-06,9.0,11.0,3,6.0
121,1,2026-08-07,13.0,15.0,2,3.0
122,2,2026-08-07,11.0,21.0,2,4.0
123,3,2026-08-07,8.0,7.0,5,8.0
124,4,2026-08-07,4.0,17.0,5,2.0
125,5,2026-08-07,11.0,16.0,6,9.0
126,6,2026-08-07,13.0,23.0,6,6.0
127,7,2026-08-07,13.0,17.0,0,5.0
128,8,2026-08-07,7.0,7.0,0,3.0
129,9,2026-08-07,12.0,17.0,5,8.0
130,10,2026-08-07,7.0,18.0,5,4.0
131,11,2026-08-07,10.0,10.0,0,10.0
132,12,2026-08-07,9.0,23.0,5,5.0
133,13,2026-08-07,14.0,12.0,2,7.0
134,14,2026-08-07,15.0,27.0,2,4.0
135,15,2026-08-07,10.0,7.0,5,0.0
136,16,2026-08-07,15.0,21.0,0,5.0
137,17,2026-08-07,9.0,7.0,3,7.0
138,18,2026-08-07,10.0,26.0,5,8.0
139,19,2026-08-07,5.0,5.0,5,10.0
140,20,2026-08-07,4.0,10.0,3,5.0
141,1,2026-08-08,15.0,14.0,2,4.0
142,2,2026-08-08,8.0,21.0,2,4.0
143,3,2026-08-08,15.0,5.0,5,8.0
144,4,2026-08-08,7.0,15.0,5,2.0
145,5,2026-08-08,12.0,15.0,6,8.0
146,6,2026-08-08,11.0,26.0,6,7.0
147,7,2026-08-08,16.0,18.0,0,5.0
148,8,2026-08-08,7.0,7.0,0,3.0
149,9,2026-08-08,13.0,17.0,5,8.0
150,10,2026-08-08,10.0,14.0,5,4.0
151,11,2026-08-08,9.0,7.0,0,9.0
152,12,2026-08-08,8.0,22.0,5,6.0
153,13,2026-08-08,16.0,12.0,2,8.0
154,14,2026-08-08,14.0,26.0,2,6.0
155,15,2026-08-08,8.0,8.0,5,1.0
156,16,2026-08-08,13.0,22.0,0,6.0
157,17,2026-08-08,8.0,8.0,3,6.0
158,18,2026-08-08,9.0,24.0,5,8.0
159,19,2026-08-08,4.0,6.0,5,10.0
160,20,2026-08-08,8.0,9.0,3,7.0
161,1,2026-08-09,16.0,14.0,2,3.0
162,2,2026-08-09,8.0,19.0,2,7.0
163,3,2026-08-09,11.0,6.0,5,9.0
164,4,2026-08-09,7.0,17.0,5,3.0
165,5,2026-08-09,12.0,15.0,6,7.0
166,6,2026-08-09,8.0,25.0,6,4.0
167,7,2026-08-09,11.0,17.0,0,4.0
168,8,2026-08-09,5.0,8.0,0,5.0
169,9,2026-08-09,15.0,20.0,5,8.0
170,10,2026-08-09,9.0,17.0,5,5.0
171,11,2026-08-09,9.0,7.0,0,9.0
172,12,2026-08-09,10.0,24.0,5,4.0
173,13,2026-08-09,15.0,11.0,2,7.0
174,14,2026-08-09,16.0,25.0,2,7.0
175,15,2026-08-09,7.0,7.0,5,0.0
176,16,2026-08-09,13.0,20.0,0,7.0
177,17,2026-08-09,10.0,8.0,3,8.0
178,18,2026-08-09,7.0,25.0,5,9.0
179,19,2026-08-09,5.0,5.0,5,9.0
180,20,2026-08-09,8.0,12.0,3,7.0
181,1,2026-08-10,14.0,15.0,2,2.0
182,2,2026-08-10,9.0,19.0,2,5.0
183,3,2026-08-10,13.0,4.0,5,7.0
184,4,2026-08-10,7.0,16.0,5,1.0
185,5,2026-08-10,11.0,16.0,6,7.0
186,6,2026-08-10,10.0,25.0,6,4.0
187,7,2026-08-10,9.0,19.0,0,7.0
188,8,2026-08-10,3.0,8.0,0,6.0
189,9,2026-08-10,16.0,19.0,5,8.0
190,10,2026-08-10,9.0,14.0,5,5.0
191,11,2026-08-10,9.0,7.0,0,10.0
192,12,2026-08-10,9.0,22.0,5,4.0
193,13,2026-08-10,14.0,11.0,2,7.0
194,14,2026-08-10,14.0,27.0,2,4.0
195,15,2026-08-10,8.0,8.0,5,2.0
196,16,2026-08-10,16.0,22.0,0,4.0
197,17,2026-08-10,11.0,8.0,3,6.0
198,18,2026-08-10,8.0,26.0,5,7.0
199,19,2026-08-10,9.0,4.0,5,10.0
200,20,2026-08-10,8.0,10.0,3,6.0
201,1,2026-08-11,11.0,16.0,2,5.0
202,2,2026-08-11,9.0,19.0,2,2.0
203,3,2026-08-11,13.0,8.0,5,6.0
204,4,2026-08-11,7.0,15.0,5,3.0
205,5,2026-08-11,10.0,17.0,6,8.0
206,6,2026-08-11,9.0,25.0,6,4.0
207,7,2026-08-11,11.0,16.0,0,3.0
208,8,2026-08-11,4.0,7.0,0,5.0
209,9,2026-08-11,18.0,19.0,5,9.0
210,10,2026-08-11,10.0,15.0,5,6.0
211,11,2026-08-11,10.0,10.0,0,10.0
212,12,2026-08-11,7.0,24.0,5,5.0
213,13,2026-08-11,13.0,11.0,2,6.0
214,14,2026-08-11,13.0,26.0,2,3.0
215,15,2026-08-11,5.0,7.0,5,2.0
216,16,2026-08-11,11.0,20.0,0,7.0
217,17,2026-08-11,5.0,8.0,3,5.0
218,18,2026-08-11,5.0,26.0,5,7.0
219,19,2026-08-11,6.0,7.0,5,7.0
220,20,2026-08-11,10.0,10.0,3,6.0
221,1,2026-08-12,11.0,14.0,2,5.0
222,2,2026-08-12,9.0,19.0,2,5.0
223,3,2026-08-12,12.0,4.0,5,8.0
224,4,2026-08-12,4.0,17.0,5,2.0
225,5,2026-08-12,11.0,15.0,6,8.0
226,6,2026-08-12,13.0,25.0,6,5.0
227,7,2026-08-12,13.0,17.0,0,6.0
228,8,2026-08-12,3.0,9.0,0,5.0
229,9,2026-08-12,15.0,20.0,5,8.0
230,10,2026-08-12,10.0,16.0,5,6.0
231,11,2026-08-12,6.0,6.0,0,9.0
232,12,2026-08-12,8.0,24.0,5,7.0
233,13,2026-08-12,14.0,12.0,2,5.0
234,14,2026-08-12,15.0,25.0,2,5.0
235,15,2026-08-12,11.0,7.0,5,2.0
236,16,2026-08-12,17.0,22.0,0,4.0
237,17,2026-08-12,8.0,9.0,3,9.0
238,18,2026-08-12,9.0,25.0,5,6.0
239,19,2026-08-12,11.0,6.0,5,9.0
240,20,2026-08-12,6.0,12.0,3,7.0
241,1,2026-08-13,13.0,14.0,2,3.0
242,2,2026-08-13,9.0,20.0,2,3.0
243,3,2026-08-13,9.0,7.0,5,8.0
244,4,2026-08-13,10.0,17.0,5,2.0
245,5,2026-08-13,13.0,17.0,6,8.0
246,6,2026-08-13,10.0,24.0,6,6.0
247,7,2026-08-13,14.0,17.0,0,5.0
248,8,2026-08-13,7.0,7.0,0,3.0
249,9,2026-08-13,12.0,21.0,5,6.0
250,10,2026-08-13,7.0,16.0,5,6.0
251,11,2026-08-13,9.0,7.0,0,10.0
252,12,2026-08-13,11.0,22.0,5,5.0
253,13,2026-08-13,14.0,12.0,2,8.0
254,14,2026-08-13,11.0,24.0,2,4.0
255,15,2026-08-13,11.0,7.0,5,2.0
256,16,2026-08-13,14.0,20.0,0,4.0
257,17,2026-08-13,13.0,8.0,3,7.0
258,18,2026-08-13,7.0,25.0,5,6.0
259,19,2026-08-13,9.0,6.0,5,9.0
260,20,2026-08-13,9.0,9.0,3,7.0
261,1,2026-08-14,14.0,14.0,2,4.0
262,2,2026-08-14,9.0,21.0,2,5.0
263,3,2026-08-14,11.0,8.0,5,6.0
264,4,2026-08-14,5.0,15.0,5,4.0
265,5,2026-08-14,10.0,16.0,6,7.0
266,6,2026-08-14,7.0,27.0,6,5.0
267,7,2026-08-14,8.0,16.0,0,5.0
268,8,2026-08-14,7.0,9.0,0,5.0
269,9,2026-08-14,14.0,19.0,5,8.0
270,10,2026-08-14,6.0,16.0,5,4.0
271,11,2026-08-14,8.0,7.0,0,9.0
272,12,2026-08-14,7.0,21.0,5,5.0
273,13,2026-08-14,14.0,12.0,2,8.0
274,14,2026-08-14,13.0,26.0,2,5.0
275,15,2026-08-14,7.0,8.0,5,1.0
276,16,2026-08-14,13.0,22.0,0,2.0
277,17,2026-08-14,8.0,10.0,3,8.0
278,18,2026-08-14,10.0,24.0,5,5.0
279,19,2026-08-14,5.0,5.0,5,9.0
280,20,2026-08-14,6.0,10.0,3,6.0
281,1,2026-08-15,10.0,15.0,2,3.0
282,2,2026-08-15,7.0,20.0,2,4.0
283,3,2026-08-15,11.0,6.0,5,6.0
284,4,2026-08-15,6.0,17.0,5,0.0
285,5,2026-08-15,11.0,18.0,6,7.0
286,6,2026-08-15,13.0,25.0,6,6.0
287,7,2026-08-15,11.0,16.0,0,5.0
288,8,2026-08-15,7.0,8.0,0,4.0
289,9,2026-08-15,15.0,19.0,5,7.0
290,10,2026-08-15,10.0,17.0,5,9.0
291,11,2026-08-15,8.0,7.0,0,8.0
292,12,2026-08-15,4.0,22.0,5,5.0
293,13,2026-08-15,13.0,11.0,2,6.0
294,14,2026-08-15,13.0,24.0,2,6.0
295,15,2026-08-15,6.0,8.0,5,1.0
296,16,2026-08-15,15.0,22.0,0,5.0
297,17,2026-08-15,7.0,8.0,3,5.0
298,18,2026-08-15,11.0,26.0,5,7.0
299,19,2026-08-15,5.0,3.0,5,7.0
300,20,2026-08-15,6.0,11.0,3,7.0
301,1,2026-08-16,11.0,14.0,2,4.0
302,2,2026-08-16,11.0,19.0,2,7.0
303,3,2026-08-16,13.0,8.0,5,8.0
304,4,2026-08-16,7.0,15.0,5,2.0
305,5,2026-08-16,11.0,15.0,6,6.0
306,6,2026-08-16,8.0,23.0,6,4.0
307,7,2026-08-16,14.0,17.0,0,4.0
308,8,2026-08-16,8.0,7.0,0,4.0
309,9,2026-08-16,13.0,18.0,5,6.0
310,10,2026-08-16,10.0,17.0,5,6.0
311,11,2026-08-16,7.0,8.0,0,10.0
312,12,2026-08-16,6.0,22.0,5,5.0
313,13,2026-08-16,13.0,11.0,2,6.0
314,14,2026-08-16,14.0,26.0,2,1.0
315,15,2026-08-16,10.0,8.0,5,2.0
316,16,2026-08-16,13.0,19.0,0,2.0
317,17,2026-08-16,9.0,8.0,3,5.0
318,18,2026-08-16,9.0,27.0,5,8.0
319,19,2026-08-16,9.0,6.0,5,8.0
320,20,2026-08-16,6.0,8.0,3,4.0
321,1,2026-08-17,10.0,14.0,2,4.0
322,2,2026-08-17,11.0,19.0,2,4.0
323,3,2026-08-17,8.0,6.0,5,9.0
324,4,2026-08-17,6.0,16.0,5,2.0
325,5,2026-08-17,11.0,15.0,6,6.0
326,6,2026-08-17,6.0,25.0,6,5.0
327,7,2026-08-17,10.0,17.0,0,5.0
328,8,2026-08-17,3.0,7.0,0,1.0
329,9,2026-08-17,14.0,18.0,5,9.0
330,10,2026-08-17,12.0,16.0,5,5.0
331,11,2026-08-17,6.0,8.0,0,10.0
332,12,2026-08-17,9.0,22.0,5,6.0
333,13,2026-08-17,11.0,12.0,2,8.0
334,14,2026-08-17,15.0,28.0,2,5.0
335,15,2026-08-17,7.0,7.0,5,3.0
336,16,2026-08-17,15.0,22.0,0,6.0
337,17,2026-08-17,9.0,6.0,3,7.0
338,18,2026-08-17,5.0,25.0,5,7.0
339,19,2026-08-17,6.0,6.0,5,9.0
340,20,2026-08-17,5.0,13.0,3,7.0
341,1,2026-08-18,13.0,15.0,2,4.0
342,2,2026-08-18,12.0,19.0,2,5.0
343,3,2026-08-18,15.0,4.0,5,9.0
344,4,2026-08-18,6.0,17.0,5,2.0
345,5,2026-08-18,10.0,17.0,6,7.0
346,6,2026-08-18,8.0,25.0,6,5.0
347,7,2026-08-18,14.0,18.0,0,6.0
348,8,2026-08-18,7.0,7.0,0,4.0
349,9,2026-08-18,15.0,18.0,5,8.0
350,10,2026-08-18,7.0,17.0,5,6.0
351,11,2026-08-18,10.0,9.0,0,10.0
352,12,2026-08-18,5.0,23.0,5,8.0
353,13,2026-08-18,13.0,13.0,2,6.0
354,14,2026-08-18,18.0,27.0,2,4.0
355,15,2026-08-18,10.0,9.0,5,0.0
356,16,2026-08-18,13.0,22.0,0,5.0
357,17,2026-08-18,7.0,9.0,3,8.0
358,18,2026-08-18,5.0,24.0,5,7.0
359,19,2026-08-18,3.0,3.0,5,10.0
360,20,2026-08-18,4.0,13.0,3,7.0
361,1,2026-08-19,15.0,14.0,2,3.0
362,2,2026-08-19,8.0,19.0,2,3.0
363,3,2026-08-19,11.0,6.0,5,7.0
364,4,2026-08-19,7.0,16.0,5,3.0
365,5,2026-08-19,11.0,16.0,6,9.0
366,6,2026-08-19,12.0,25.0,6,5.0
367,7,2026-08-19,16.0,17.0,0,4.0
368,8,2026-08-19,3.0,9.0,0,3.0
369,9,2026-08-19,16.0,22.0,5,6.0
370,10,2026-08-19,9.0,16.0,5,6.0
371,11,2026-08-19,9.0,9.0,0,9.0
372,12,2026-08-19,6.0,22.0,5,4.0
373,13,2026-08-19,12.0,12.0,2,8.0
374,14,2026-08-19,12.0,29.0,2,3.0
375,15,2026-08-19,10.0,6.0,5,2.0
376,16,2026-08-19,12.0,20.0,0,1.0
377,17,2026-08-19,8.0,8.0,3,6.0
378,18,2026-08-19,9.0,25.0,5,9.0
379,19,2026-08-19,8.0,4.0,5,10.0
380,20,2026-08-19,5.0,9.0,3,5.0
381,1,2026-08-20,14.0,16.0,2,5.0
382,2,2026-08-20,8.0,21.0,2,5.0
383,3,2026-08-20,10.0,5.0,5,6.0
384,4,2026-08-20,7.0,16.0,5,2.0
385,5,2026-08-20,13.0,14.0,6,11.0
386,6,2026-08-20,10.0,25.0,6,6.0
387,7,2026-08-20,16.0,15.0,0,5.0
388,8,2026-08-20,9.0,9.0,0,4.0
389,9,2026-08-20,17.0,21.0,5,8.0
390,10,2026-08-20,7.0,18.0,5,6.0
391,11,2026-08-20,11.0,8.0,0,7.0
392,12,2026-08-20,11.0,21.0,5,5.0
393,13,2026-08-20,18.0,12.0,2,5.0
394,14,2026-08-20,13.0,26.0,2,7.0
395,15,2026-08-20,11.0,6.0,5,-0.0
396,16,2026-08-20,16.0,19.0,0,1.0
397,17,2026-08-20,11.0,11.0,3,7.0
398,18,2026-08-20,7.0,26.0,5,6.0
399,19,2026-08-20,9.0,7.0,5,8.0
400,20,2026-08-20,6.0,13.0,3,6.0
401,1,2026-08-21,10.0,13.0,2,6.0
402,2,2026-08-21,10.0,19.0,2,4.0
403,3,2026-08-21,15.0,5.0,5,9.0
404,4,2026-08-21,5.0,16.0,5,2.0
405,5,2026-08-21,11.0,16.0,6,9.0
406,6,2026-08-21,9.0,27.0,6,6.0
407,7,2026-08-21,16.0,16.0,0,7.0
408,8,2026-08-21,5.0,9.0,0,5.0
409,9,2026-08-21,10.0,20.0,5,10.0
410,10,2026-08-21,11.0,17.0,5,5.0
411,11,2026-08-21,5.0,7.0,0,10.0
412,12,2026-08-21,13.0,21.0,5,6.0
413,13,2026-08-21,10.0,13.0,2,8.0
414,14,2026-08-21,12.0,26.0,2,5.0
415,15,2026-08-21,10.0,7.0,5,2.0
416,16,2026-08-21,15.0,21.0,0,7.0
417,17,2026-08-21,5.0,7.0,3,7.0
418,18,2026-08-21,7.0,25.0,5,6.0
419,19,2026-08-21,9.0,4.0,5,9.0
420,20,2026-08-21,3.0,9.0,3,6.0
421,1,2026-08-22,13.0,13.0,2,3.0
422,2,2026-08-22,12.0,21.0,2,6.0
423,3,2026-08-22,11.0,7.0,5,10.0
424,4,2026-08-22,6.0,18.0,5,2.0
425,5,2026-08-22,15.0,18.0,6,9.0
426,6,2026-08-22,10.0,25.0,6,4.0
427,7,2026-08-22,11.0,17.0,0,5.0
428,8,2026-08-22,9.0,10.0,0,5.0
429,9,2026-08-22,13.0,18.0,5,8.0
430,10,2026-08-22,9.0,17.0,5,4.0
431,11,2026-08-22,8.0,9.0,0,8.0
432,12,2026-08-22,10.0,25.0,5,5.0
433,13,2026-08-22,14.0,14.0,2,6.0
434,14,2026-08-22,11.0,27.0,2,5.0
435,15,2026-08-22,9.0,6.0,5,0.0
436,16,2026-08-22,15.0,21.0,0,6.0
437,17,2026-08-22,3.0,8.0,3,7.0
438,18,2026-08-22,7.0,24.0,5,8.0
439,19,2026-08-22,10.0,4.0,5,9.0
440,20,2026-08-22,10.0,13.0,3,7.0
441,1,2026-08-23,12.0,16.0,2,3.0
442,2,2026-08-23,8.0,19.0,2,7.0
443,3,2026-08-23,10.0,8.0,5,5.0
444,4,2026-08-23,3.0,17.0,5,0.0
445,5,2026-08-23,13.0,15.0,6,9.0
446,6,2026-08-23,10.0,25.0,6,6.0
447,7,2026-08-23,14.0,16.0,0,5.0
448,8,2026-08-23,5.0,5.0,0,3.0
449,9,2026-08-23,14.0,21.0,5,10.0
450,10,2026-08-23,12.0,14.0,5,5.0
451,11,2026-08-23,9.0,7.0,0,9.0
452,12,2026-08-23,9.0,22.0,5,3.0
453,13,2026-08-23,15.0,12.0,2,7.0
454,14,2026-08-23,14.0,24.0,2,5.0
455,15,2026-08-23,9.0,9.0,5,2.0
456,16,2026-08-23,14.0,22.0,0,3.0
457,17,2026-08-23,11.0,9.0,3,7.0
458,18,2026-08-23,7.0,25.0,5,7.0
459,19,2026-08-23,4.0,7.0,5,12.0
460,20,2026-08-23,8.0,9.0,3,8.0
461,1,2026-08-24,15.0,12.0,2,2.0
462,2,2026-08-24,5.0,21.0,2,7.0
463,3,2026-08-24,12.0,8.0,5,8.0
464,4,2026-08-24,10.0,14.0,5,6.0
465,5,2026-08-24,12.0,15.0,6,6.0
466,6,2026-08-24,9.0,25.0,6,3.0
467,7,2026-08-24,9.0,21.0,0,5.0
468,8,2026-08-24,9.0,8.0,0,5.0
469,9,2026-08-24,14.0,17.0,5,9.0
470,10,2026-08-24,9.0,17.0,5,7.0
471,11,2026-08-24,13.0,6.0,0,8.0
472,12,2026-08-24,10.0,23.0,5,6.0
473,13,2026-08-24,12.0,13.0,2,7.0
474,14,2026-08-24,13.0,24.0,2,3.0
475,15,2026-08-24,10.0,9.0,5,0.0
476,16,2026-08-24,19.0,20.0,0,4.0
477,17,2026-08-24,10.0,7.0,3,5.0
478,18,2026-08-24,7.0,26.0,5,7.0
479,19,2026-08-24,9.0,7.0,5,8.0
480,20,2026-08-24,4.0,12.0,3,6.0
481,1,2026-08-25,12.0,15.0,2,3.0
482,2,2026-08-25,8.0,22.0,2,7.0
483,3,2026-08-25,15.0,5.0,5,8.0
484,4,2026-08-25,8.0,15.0,5,2.0
485,5,2026-08-25,11.0,15.0,6,6.0
486,6,2026-08-25,11.0,26.0,6,3.0
487,7,2026-08-25,15.0,20.0,0,7.0
488,8,2026-08-25,6.0,9.0,0,5.0
489,9,2026-08-25,11.0,19.0,5,10.0
490,10,2026-08-25,9.0,17.0,5,7.0
491,11,2026-08-25,7.0,6.0,0,12.0
492,12,2026-08-25,13.0,24.0,5,7.0
493,13,2026-08-25,14.0,13.0,2,7.0
494,14,2026-08-25,9.0,24.0,2,7.0
495,15,2026-08-25,9.0,5.0,5,1.0
496,16,2026-08-25,16.0,17.0,0,4.0
497,17,2026-08-25,12.0,7.0,3,5.0
498,18,2026-08-25,11.0,27.0,5,10.0
499,19,2026-08-25,4.0,5.0,5,9.0
500,20,2026-08-25,10.0,13.0,3,8.0
501,1,2026-08-26,13.0,17.0,2,2.0
502,2,2026-08-26,13.0,20.0,2,3.0
503,3,2026-08-26,16.0,8.0,5,9.0
504,4,2026-08-26,3.0,16.0,5,3.0
505,5,2026-08-26,11.0,16.0,6,7.0
506,6,2026-08-26,9.0,25.0,6,6.0
507,7,2026-08-26,10.0,18.0,0,5.0
508,8,2026-08-26,5.0,9.0,0,3.0
509,9,2026-08-26,12.0,22.0,5,7.0
510,10,2026-08-26,11.0,16.0,5,5.0
511,11,2026-08-26,12.0,10.0,0,12.0
512,12,2026-08-26,10.0,21.0,5,6.0
513,13,2026-08-26,11.0,9.0,2,10.0
514,14,2026-08-26,15.0,27.0,2,5.0
515,15,2026-08-26,13.0,9.0,5,3.0
516,16,2026-08-26,14.0,19.0,0,5.0
517,17,2026-08-26,7.0,8.0,3,7.0
518,18,2026-08-26,9.0,22.0,5,6.0
519,19,2026-08-26,6.0,3.0,5,10.0
520,20,2026-08-26,4.0,12.0,3,5.0
521,1,2026-08-27,13.0,13.0,2,5.0
522,2,2026-08-27,15.0,19.0,2,6.0
523,3,2026-08-27,13.0,6.0,5,6.0
524,4,2026-08-27,8.0,17.0,5,1.0
525,5,2026-08-27,12.0,16.0,6,9.0
526,6,2026-08-27,12.0,24.0,6,4.0
527,7,2026-08-27,14.0,15.0,0,4.0
528,8,2026-08-27,6.0,6.0,0,4.0
529,9,2026-08-27,16.0,18.0,5,10.0
530,10,2026-08-27,10.0,13.0,5,3.0
531,11,2026-08-27,11.0,7.0,0,9.0
532,12,2026-08-27,6.0,22.0,5,7.0
533,13,2026-08-27,15.0,13.0,2,6.0
534,14,2026-08-27,13.0,25.0,2,5.0
535,15,2026-08-27,7.0,9.0,5,1.0
536,16,2026-08-27,11.0,21.0,0,6.0
537,17,2026-08-27,15.0,7.0,3,7.0
538,18,2026-08-27,9.0,25.0,5,9.0
539,19,2026-08-27,5.0,7.0,5,12.0
540,20,2026-08-27,9.0,11.0,3,6.0
541,1,2026-08-28,15.0,16.0,2,2.0
542,2,2026-08-28,6.0,24.0,2,6.0
543,3,2026-08-28,13.0,7.0,5,10.0
544,4,2026-08-28,11.0,19.0,5,4.0
545,5,2026-08-28,12.0,19.0,6,7.0
546,6,2026-08-28,11.0,27.0,6,5.0
547,7,2026-08-28,5.0,16.0,0,6.0
548,8,2026-08-28,4.0,10.0,0,4.0
549,9,2026-08-28,15.0,17.0,5,8.0
550,10,2026-08-28,8.0,14.0,5,4.0
551,11,2026-08-28,13.0,7.0,0,10.0
552,12,2026-08-28,8.0,23.0,5,6.0
553,13,2026-08-28,12.0,11.0,2,6.0
554,14,2026-08-28,15.0,27.0,2,4.0
555,15,2026-08-28,5.0,9.0,5,1.0
556,16,2026-08-28,12.0,23.0,0,1.0
557,17,2026-08-28,9.0,8.0,3,6.0
